               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.023786,           0.0093098,                   0,              0.8911,             0.68478,             0.73801,             0.52375,            0.027497,           0.0072348,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.022889,           0.0091047,                   0,             0.89178,             0.66615,             0.73356,             0.52775,            0.028061,           0.0074352,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.023155,           0.0093099,                   0,             0.86067,             0.68104,              0.7263,              0.5115,             0.02772,           0.0073994,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.022858,           0.0090245,                   0,              0.8714,             0.69441,             0.74482,             0.52899,            0.027599,             0.00724,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.023349,           0.0091597,                   0,             0.84792,             0.68478,             0.73129,              0.5205,            0.027763,           0.0073276,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.022341,           0.0090377,                   0,             0.88145,             0.68012,             0.73638,             0.52478,            0.027642,           0.0072983,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.022098,           0.0090209,                   0,             0.84228,             0.69565,             0.73672,              0.5297,            0.027587,           0.0073283,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.022263,           0.0086561,                   0,             0.83069,             0.69565,             0.72794,             0.52841,            0.027619,           0.0074278,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.022195,           0.0088052,                   0,             0.85797,              0.6941,             0.73925,             0.52735,            0.027587,           0.0073203,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.021785,           0.0086087,                   0,             0.87604,             0.65841,             0.73054,             0.52804,            0.027808,            0.007287,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.022442,           0.0086776,                   0,             0.84689,              0.6972,             0.73906,             0.53009,            0.027562,           0.0072548,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.021986,           0.0087871,                   0,             0.84044,             0.70031,             0.73778,             0.52992,            0.027613,            0.007261,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.021895,           0.0086874,                   0,             0.86361,             0.68478,             0.73774,             0.53169,            0.027691,           0.0072456,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.022131,            0.008829,                   0,             0.85974,             0.69483,             0.73902,             0.53163,            0.027618,           0.0071914,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.021827,           0.0089177,                   0,             0.86351,             0.69751,              0.7461,              0.5349,            0.027368,           0.0071673,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.021635,           0.0087411,                   0,             0.82842,             0.69725,              0.7343,             0.52592,            0.027703,           0.0073338,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.021459,           0.0090328,                   0,             0.86101,             0.69259,             0.74057,             0.52828,            0.027618,           0.0073372,                   0,             0.00109,             0.00109,             0.00109
                  92,              0.0216,           0.0087538,                   0,             0.86993,             0.69099,             0.74126,             0.52828,            0.027568,           0.0072307,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.021355,           0.0086938,                   0,             0.86044,             0.69888,             0.73849,             0.52988,            0.027562,           0.0073429,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.021747,           0.0088717,                   0,             0.84501,             0.70807,             0.74124,             0.53622,            0.027479,           0.0072133,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.021456,           0.0086994,                   0,             0.83066,             0.71273,             0.74407,             0.52916,            0.027627,           0.0072558,                   0,            0.000694,            0.000694,            0.000694
                  96,             0.02158,           0.0086985,                   0,             0.87345,             0.67857,             0.74354,             0.53161,            0.027556,           0.0072345,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.021186,            0.008443,                   0,             0.84302,             0.70342,             0.74306,             0.53051,            0.027558,           0.0072639,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.021446,           0.0083813,                   0,             0.84278,             0.69876,              0.7424,             0.53093,             0.02763,           0.0072181,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.021299,           0.0085418,                   0,             0.85785,             0.68789,             0.74062,              0.5325,            0.027556,           0.0072511,                   0,            0.000298,            0.000298,            0.000298
